year,month,ff1,1year
1988,11,0.0423187,8.48
1988,12,0.0379436,8.99
1989,1,-0.0120248,9.05
1989,2,0.0326369,9.25
1989,3,0.1175115,9.57
1989,4,-0.0632258,9.36
1989,5,-0.0107129,8.98
1989,6,-0.0218438,8.44
1989,7,-0.0248495,7.89
1989,8,-0.0130639,8.18
1989,9,0,8.22
1989,10,-0.0755613,7.99
1989,11,-0.1908154,7.77
1989,12,-0.0956575,7.72
1990,1,-0.1036358,7.92
1990,2,-0.0105,8.11
1990,3,-0.0035,8.35
1990,4,0,8.4
1990,5,0,8.32
1990,6,0,8.1
1990,7,-0.0844397,7.94
1990,8,-0.0533303,7.78
1990,9,0,7.76
1990,10,0.0074526,7.55
1990,11,-0.0157576,7.31
1990,12,-0.1617195,7.05
1991,1,-0.2395413,6.64
1991,2,-0.1030241,6.27
1991,3,-0.0240903,6.4
1991,4,-0.0288599,6.24
1991,5,-0.1633722,6.13
1991,6,0.0087522,6.36
1991,7,0,6.31
1991,8,-0.112,5.78
1991,9,0.0182359,5.57
1991,10,-0.0334573,5.33
1991,11,-0.111752,4.89
1991,12,-0.1369421,4.38
1992,1,-0.1983844,4.15
1992,2,0.0104358,4.29
1992,3,0.0021741,4.63
1992,4,-0.146796,4.3
1992,5,-0.0571439,4.19
1992,6,0,4.17
1992,7,-0.0827613,3.6
1992,8,0.0080731,3.47
1992,9,0.0149982,3.18
1992,10,0,3.3
1992,11,-0.0216625,3.68
1992,12,-0.0170834,3.71
1993,1,0.0274858,3.5
1993,2,0,3.39
1993,3,0,3.33
1993,4,0,3.24
1993,5,-0.0108318,3.36
1993,6,-0.0149982,3.54
1993,7,0.0208721,3.47
1993,8,0.0060878,3.44
1993,9,0,3.36
1993,10,0,3.39
1993,11,0.0107708,3.58
1993,12,0.0123093,3.61
1994,1,0,3.54
1994,2,0.1458303,3.87
1994,3,0.0174965,4.32
1994,4,0.0649976,4.82
1994,5,0.1385798,5.31
1994,6,0.0571458,5.27
1994,7,-0.0416,5.48
1994,8,0.0559949,5.56
1994,9,0.0479952,5.76
1994,10,-0.0780001,6.11
1994,11,0.064,6.54
1994,12,-0.0312749,7.14
1995,1,-0.1381851,7.05
1995,2,0.06223,6.7
1995,3,-0.0012903,6.43
1995,4,-0.0087097,6.27
1995,5,2.86E-06,6
1995,6,7.15E-06,5.64
1995,7,-0.0936,5.59
1995,8,-0.0068935,5.75
1995,9,0.0283252,5.62
1995,10,0.0250083,5.59
1995,11,0.0213281,5.43
1995,12,-0.0192519,5.31
1996,1,-0.0534642,5.09
1996,2,-0.0290419,4.94
1996,3,0.0019355,5.34
1996,4,0.0080645,5.54
1996,5,-3.58E-06,5.64
1996,6,-6.44E-06,5.81
1996,7,-0.0673268,5.85
1996,8,-0.0155555,5.67
1996,9,-0.0452777,5.83
1996,10,-0.0920001,5.55
1996,11,-0.0105898,5.42
1996,12,-0.0017035,5.47
1997,1,0.0057135,5.61
1997,2,-0.0313029,5.53
1997,3,0.0038152,5.8
1997,4,0.0309677,5.99
1997,5,-0.038187,5.87
1997,6,-0.060463,5.69
1997,7,-0.0206902,5.54
1997,8,-0.000694,5.56
1997,9,-5.72E-06,5.52
1997,10,0,5.46
1997,11,-0.0263848,5.46
1997,12,-0.0152752,5.53
1998,1,0,5.24
1998,2,0,5.31
1998,3,-0.0003226,5.39
1998,4,-0.0096774,5.38
1998,5,-0.0108361,5.44
1998,6,-0.0150039,5.41
1998,7,-0.0051599,5.36
1998,8,0.0053878,5.21
1998,9,0.0098755,4.71
1998,10,-0.0861473,4.12
1998,11,-0.1416833,4.53
1998,12,-0.0369227,4.52
1999,1,0,4.51
1999,2,0.0051999,4.7
1999,3,-0.0002451,4.78
1999,4,-0.0093548,4.69
1999,5,-0.0053878,4.85
1999,6,-0.0075421,5.1
1999,7,-0.029,5.03
1999,8,0.0090322,5.2
1999,9,0.0259676,5.25
1999,10,-0.0363455,5.43
1999,11,0.0321207,5.55
1999,12,0.0430083,5.84
2000,1,0.0100064,6.12
2000,2,-0.0570331,6.22
2000,3,-0.0185368,6.22
2000,4,-0.03,6.15
2000,5,0.0213315,6.33
2000,6,0.0174983,6.17
2000,7,-0.0224998,6.08
2000,8,-0.0055516,6.18
2000,9,-0.0116584,6.13
2000,10,0,6.01
2000,11,-0.0053279,6.09
2000,12,0.0224199,5.6
2001,1,-0.3290555,4.81
2001,2,0.0085135,4.68
2001,3,0.0272748,4.3
2001,4,-0.1463938,3.98
2001,5,-0.3010387,3.78
2001,6,-0.0297523,3.58
2001,7,0.0910001,3.62
2001,8,0.0054965,3.47
2001,9,0.0099933,2.82
2001,10,-0.0362127,2.33
2001,11,-0.1262071,2.18
2001,12,-0.0302501,2.22
2002,1,-0.0008872,2.16
2002,2,0.0233872,2.23
2002,3,-0.0108361,2.57
2002,4,-0.0150039,2.48
2002,5,0.0052016,2.35
2002,6,0.0012484,2.2
2002,7,0,1.96
2002,8,0.0263917,1.76
2002,9,0.0213349,1.72
